Data;AUD  mediu (RON/AUD) CURSL_AUDM;CAD  mediu (RON/CAD) CURSL_CADM;CHF  mediu (RON/CHF) CURSL_CHFM;CZK  mediu (RON/CZK) CURSL_CZKM;DKK  mediu (RON/DKK) CURSL_DKKM;EGP  mediu (RON/EGP) CURSL_EGPM;EUR  mediu (RON/EUR) CURSL_EURM;GBP  mediu (RON/GBP) CURSL_GBPM;HUF  mediu (RON/HUF) CURSL_HUFM;JPY  mediu (RON/JPY) CURSL_JPYM;MDL  mediu (RON/MDL) CURSL_MDLM;NOK  mediu (RON/NOK) CURSL_NOKM;PLN  mediu (RON/PLN) CURSL_PLNM;SEK  mediu (RON/SEK) CURSL_SEKM;TRY  mediu (RON/TRY) CURSL_TRYM;USD  mediu (RON/USD) CURSL_USDM;XAU  mediu (RON/XAU) CURSL_XAUM;XDR  mediu (RON/XDR) CURSL_XDRM;RUB  mediu (RON/RUB) CURSL_RUBM;SKK  mediu (RON/SKK) CURSL_SKKM;BGN  mediu (RON/BGN) CURSL_BGNM;ZAR  mediu (RON/ZAR) CURSL_ZARM;BRL  mediu (RON/BRL) CURSL_BRLM;CNY  mediu (RON/CNY) CURSL_CNYM;INR  mediu (RON/INR) CURSL_INRM;KRW  mediu (RON/KRW) CURSL_KRWM;MXN  mediu (RON/MXN) CURSL_MXNM;NZD  mediu (RON/NZD) CURSL_NZDM;RSD  mediu (RON/RSD) CURSL_RSDM;UAH  mediu (RON/UAH) CURSL_UAHM;AED  mediu (RON/AED) CURSL_AEDM;HRK  mediu (RON/HRK) CURSL_HRKM;AUD  sfârşitul perioadei (RON/AUD) CURSL_AUDF;CAD  sfârşitul perioadei (RON/CAD) CURSL_CADF;CHF  sfârşitul perioadei (RON/CHF) CURSL_CHFF;CZK  sfârşitul perioadei (RON/CZK) CURSL_CZKF;DKK  sfârşitul perioadei (RON/DKK) CURSL_DKKF;EGP  sfârşitul perioadei (RON/EGP) CURSL_EGPF;EUR  sfârşitul perioadei (RON/EUR) CURSL_EURF;GBP  sfârşitul perioadei (RON/GBP) CURSL_GBPF;HUF  sfârşitul perioadei (RON/HUF) CURSL_HUFF;JPY  sfârşitul perioadei (RON/JPY) CURSL_JPYF;MDL  sfârşitul perioadei (RON/MDL) CURSL_MDLF;NOK  sfârşitul perioadei (RON/NOK) CURSL_NOKF;PLN  sfârşitul perioadei (RON/PLN) CURSL_PLNF;SEK  sfârşitul perioadei (RON/SEK) CURSL_SEKF;TRY  sfârşitul perioadei (RON/TRY) CURSL_TRYF;USD  sfârşitul perioadei (RON/USD) CURSL_USDF;XAU  sfârşitul perioadei (RON/XAU) CURSL_XAUF;XDR  sfârşitul perioadei (RON/XDR) CURSL_XDRF;RUB  sfârşitul perioadei (RON/RUB) CURSL_RUBF;SKK  sfârşitul perioadei (RON/SKK) CURSL_SKKF;BGN  sfârşitul perioadei (RON/BGN) CURSL_BGNF;ZAR  sfârşitul perioadei (RON/ZAR) CURSL_ZARF;BRL  sfârşitul perioadei (RON/BRL) CURSL_BRLF;CNY  sfârşitul perioadei (RON/CNY) CURSL_CNYF;INR  sfârşitul perioadei (RON/INR) CURSL_INRF;KRW  sfârşitul perioadei (RON/KRW) CURSL_KRWF;MXN  sfârşitul perioadei (RON/MXN) CURSL_MXNF;NZD  sfârşitul perioadei (RON/NZD) CURSL_NZDF;RSD  sfârşitul perioadei (RON/RSD) CURSL_RSDF;UAH  sfârşitul perioadei (RON/UAH) CURSL_UAHF;AED  sfârşitul perioadei (RON/AED) CURSL_AEDF;HRK  sfârşitul perioadei (RON/HRK) CURSL_HRKF;THB  mediu (RON/THB) CURSL_THBM;THB  sfârşitul perioadei (RON/THB) CURSL_THBF
dec. 2022;3,1355;3,4196;4,9900;0,2028;0,6618;0,1882;4,9224;5,6595;0,012093;0,034465;0,2402;0,4707;1,0515;0,4481;0,2490;4,6477;268,3759;6,1810;0,0702;-;2,5168;0,2692;0,8850;0,6666;0,0563;0,003591;0,2370;2,9527;0,0420;0,1259;1,2654;0,6525;3,1491;3,4232;5,0289;0,2049;0,6653;0,1872;4,9474;5,5878;0,012354;0,035153;0,2428;0,4708;1,0557;0,4445;0,2473;4,6346;270,6553;6,1883;0,0637;-;2,5295;0,2734;0,8768;0,6685;0,0560;0,003683;0,2377;2,9352;0,0422;0,1255;1,2620;0,6565;0,1337;0,1341
nov. 2022;3,1790;3,5900;4,9917;0,2016;0,6605;0,1975;4,9131;5,6543;0,012074;0,033870;0,2511;0,4749;1,0458;0,4516;0,2592;4,8248;267,2213;6,2772;0,0791;-;2,5120;0,2753;0,9151;0,6718;0,0590;0,003550;0,2478;2,9181;0,0419;0,1308;1,3136;0,6515;3,1941;3,5228;4,9890;0,2021;0,6614;0,1929;4,9184;5,6933;0,012093;0,034339;0,2427;0,4759;1,0503;0,4516;0,2543;4,7383;267,3958;6,2270;0,0776;-;2,5147;0,2793;0,8831;0,6612;0,0580;0,003572;0,2485;2,9580;0,0419;0,1289;1,2901;0,6514;0,1324;0,1339
oct. 2022;3,1852;3,6545;5,0318;0,2008;0,6623;0,2494;4,9266;5,6569;0,011786;0,034057;0,2584;0,4735;1,0251;0,4499;0,2697;5,0140;268,3498;6,4220;0,0812;-;2,5189;0,2763;0,9525;0,6969;0,0609;0,003509;0,2506;2,8478;0,0420;0,1359;1,3651;0,6543;3,1613;3,6198;4,9460;0,2006;0,6601;0,2049;4,9141;5,7084;0,011973;0,033288;0,2556;0,4769;1,0421;0,4499;0,2659;4,9487;260,5682;6,3527;0,0800;-;2,5125;0,2698;0,9344;0,6781;0,0597;0,003465;0,2491;2,8676;0,0419;0,1340;1,3473;0,6525;0,1321;0,1298
sep. 2022;3,3093;3,7190;5,0913;0,1997;0,6600;0,2555;4,9080;5,6137;0,012152;0,034637;0,2549;0,4830;1,0348;0,4552;0,2703;4,9531;268,0251;6,3934;0,0825;-;2,5094;0,2820;0,9479;0,7053;0,0617;0,003549;0,2470;2,9392;0,0418;0,1343;1,3485;0,6525;3,2777;3,6857;5,1652;0,2013;0,6655;0,2583;4,9490;5,6367;0,011728;0,034963;0,2606;0,4692;1,0127;0,4532;0,2721;5,0469;270,7253;6,4745;0,0863;-;2,5304;0,2810;0,9350;0,7102;0,0620;0,003519;0,2512;2,8802;0,0422;0,1369;1,3740;0,6576;0,1337;0,1339
aug. 2022;3,3638;3,7447;5,0502;0,1992;0,6580;0,2525;4,8953;5,7955;0,012172;0,035759;0,2504;0,4978;1,0362;0,4659;0,2680;4,8344;274,0213;6,3557;0,0796;-;2,5029;0,2894;0,9394;0,7106;0,0608;0,003659;0,2400;3,0275;0,0417;0,1311;1,3162;0,6516;3,3385;3,7133;4,9747;0,1981;0,6535;0,2533;4,8605;5,6662;0,012016;0,035095;0,2514;0,4899;1,0282;0,4548;0,2678;4,8707;267,9984;6,3393;0,0800;-;2,4851;0,2857;0,9507;0,7061;0,0613;0,003625;0,2408;2,9794;0,0414;0,1320;1,3261;0,6467;0,1348;0,1335
iul. 2022;3,3255;3,7486;5,0019;0,2008;0,6638;0,2567;4,9398;5,8162;0,012223;0,035480;0,2517;0,4846;1,0350;0,4670;0,2776;4,8507;271,0755;6,3912;0,0816;-;2,5257;0,2879;0,9030;0,7206;0,0609;0,003708;0,2364;3,0060;0,0421;0,1534;1,3206;0,6570;3,3800;3,7723;5,0783;0,2006;0,6629;0,2559;4,9351;5,8793;0,012262;0,036286;0,2520;0,4979;1,0441;0,4750;0,2701;4,8412;273,8420;6,3969;0,0778;-;2,5233;0,2928;0,9338;0,7188;0,0610;0,003714;0,2384;3,0453;0,0421;0,1313;1,3180;0,6565;0,1334;0,1333
iun. 2022;3,2834;3,6483;4,8279;0,2000;0,6647;0,2496;4,9448;5,7615;0,012465;0,034883;0,2443;0,4797;1,0638;0,4663;0,2747;4,6756;276,1866;6,2569;0,0825;-;2,5282;0,2960;0,9264;0,6986;0,0599;0,003652;0,2340;2,9692;0,0421;0,1585;1,2730;0,6571;3,2654;3,6729;4,9466;0,1999;0,6648;0,2523;4,9454;5,7525;0,012451;0,034792;0,2459;0,4783;1,0552;0,4617;0,2842;4,7424;276,3032;6,3041;0,0870;-;2,5285;0,2916;0,9151;0,7083;0,0600;0,003652;0,2347;2,9519;0,0421;0,1613;1,2911;0,6567;0,1337;0,1342
mai. 2022;3,2997;3,6414;4,7769;0,1998;0,6648;0,2536;4,9462;5,8222;0,012865;0,036313;0,2472;0,4874;1,0639;0,4714;0,2995;4,6776;278,5573;6,2806;0,0727;-;2,5289;0,2943;0,9431;0,6984;0,0605;0,003691;0,2336;2,9960;0,0421;0,1579;1,2735;0,6564;3,3078;3,6318;4,8016;0,2000;0,6644;0,2478;4,9430;5,8057;0,012536;0,035996;0,2406;0,4887;1,0791;0,4702;0,2802;4,6037;273,8401;6,2243;0,0729;-;2,5273;0,2957;0,9684;0,6915;0,0593;0,003718;0,2351;3,0011;0,0421;0,1558;1,2534;0,6554;0,1359;0,1345
apr. 2022;3,3768;3,6200;4,8438;0,2023;0,6646;0,2477;4,9437;5,9179;0,013169;0,036193;0,2473;0,5140;1,0635;0,4790;0,3102;4,5638;284,8417;6,2331;0,0573;-;2,5277;0,3058;0,9638;0,7111;0,0599;0,003698;0,2281;3,0960;0,0420;0,1545;1,2425;0,6541;3,3490;3,6702;4,8290;0,2016;0,6649;0,2530;4,9480;5,8793;0,013122;0,035869;0,2543;0,5034;1,0602;0,4790;0,3154;4,6774;287,9962;6,2922;0,0657;-;2,5298;0,2941;0,9470;0,7096;0,0612;0,003716;0,2308;3,0529;0,0420;0,1547;1,2734;0,6538;0,1352;0,1365
mar. 2022;3,3109;3,5478;4,8303;0,1981;0,6650;0,2699;4,9481;5,9151;0,013137;0,037871;0,2443;0,5083;1,0403;0,4691;0,3071;4,4909;281,2215;6,2086;0,0423;-;2,5299;0,2997;0,9008;0,7078;0,0589;0,003677;0,2184;3,0834;0,0421;0,1494;1,2227;0,6536;3,3307;3,5514;4,8196;0,2023;0,6650;0,2433;4,9466;5,8374;0,013370;0,036479;0,2426;0,5101;1,0627;0,4783;0,3034;4,4508;275,4789;6,1553;0,0546;-;2,5291;0,3068;0,9329;0,7018;0,0588;0,003670;0,2240;3,0854;0,0420;0,1507;1,2117;0,6531;0,1350;0,1338
